#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 08 18 00 197 10.0 10.9 99.00 99.00 99.00 999 1014.6   3.9 999.0   3.5 99.0 99.00
2019 01 08 19 00 187  6.4  6.9 99.00 99.00 99.00 999 1013.3   4.3 999.0   4.3 99.0 99.00
2019 01 08 20 00 179  8.2  8.8 99.00 99.00 99.00 999 1012.3   4.7 999.0   4.7 99.0 99.00
2019 01 08 21 00 170  6.8  8.0 99.00 99.00 99.00 999 1011.4   5.1 999.0   5.1 99.0 99.00
2019 01 08 22 00 154  5.8  6.2 99.00 99.00 99.00 999 1010.2   5.2 999.0   5.2 99.0 99.00
2019 01 08 23 00 122  3.5  3.8 99.00 99.00 99.00 999 1008.6   5.4 999.0   5.4 99.0 99.00
2019 01 09 00 00  17  3.5  3.6 99.00 99.00 99.00 999 1008.3   4.7 999.0   4.7 99.0 99.00
2019 01 09 01 00  47  7.6  8.6 99.00 99.00 99.00 999 1006.0   2.8 999.0   2.8 99.0 99.00
2019 01 09 02 00  29  7.0  7.9 99.00 99.00 99.00 999 1004.4   3.5 999.0   3.5 99.0 99.00
2019 01 09 03 00 306  5.7  6.8 99.00 99.00 99.00 999 1004.1   1.6 999.0   1.6 99.0 99.00
2019 01 09 04 00  13  7.4  7.7 99.00 99.00 99.00 999 1001.4   1.3 999.0   1.3 99.0 99.00
2019 01 09 05 00   6  6.9  7.3 99.00 99.00 99.00 999 1000.3   2.4 999.0   2.4 99.0 99.00
2019 01 09 06 00 278  3.4  4.1 99.00 99.00 99.00 999 1000.2   2.1 999.0   2.1 99.0 99.00
2019 01 09 07 00 298  3.4  3.9 99.00 99.00 99.00 999  999.0   1.5 999.0   1.5 99.0 99.00
2019 01 09 08 00   5  4.8  5.2 99.00 99.00 99.00 999  996.9   1.5 999.0   1.5 99.0 99.00
2019 01 09 09 00  69  1.1  1.5 99.00 99.00 99.00 999  996.7   2.2 999.0   2.2 99.0 99.00
2019 01 09 10 00  93  4.6  4.9 99.00 99.00 99.00 999  994.1   2.7 999.0   2.7 99.0 99.00
2019 01 09 11 00  28  3.6  4.0 99.00 99.00 99.00 999  992.4   2.6 999.0   2.6 99.0 99.00
2019 01 09 12 00 268  1.3  1.6 99.00 99.00 99.00 999  992.2   2.8 999.0   2.8 99.0 99.00
2019 01 09 13 00 242  3.8  4.3 99.00 99.00 99.00 999  991.3   2.2 999.0   2.2 99.0 99.00
2019 01 09 14 00 251  7.4  8.5 99.00 99.00 99.00 999  990.4   2.0 999.0   2.0 99.0 99.00
2019 01 09 15 00 279  7.9  8.6 99.00 99.00 99.00 999  990.0   1.4 999.0   1.4 99.0 99.00
2019 01 09 16 00 262  7.6  8.9 99.00 99.00 99.00 999  989.0   1.9 999.0   1.5 99.0 99.00
2019 01 09 17 00 268 14.2 15.9 99.00 99.00 99.00 999  987.2   3.3 999.0   1.8 99.0 99.00
2019 01 09 18 00 270 15.9 18.2 99.00 99.00 99.00 999  987.5   3.2 999.0   1.3 99.0 99.00
2019 01 09 19 00 283 17.2 19.7 99.00 99.00 99.00 999  988.4   3.1 999.0   0.2 99.0 99.00
2019 01 09 20 00 275 13.0 14.4 99.00 99.00 99.00 999  990.2   2.9 999.0   0.3 99.0 99.00
2019 01 09 21 00 271 11.1 12.3 99.00 99.00 99.00 999  990.9   2.8 999.0   1.5 99.0 99.00
2019 01 09 22 00 278 13.0 14.4 99.00 99.00 99.00 999  991.3   3.6 999.0   0.3 99.0 99.00
2019 01 09 23 00 284 12.9 14.7 99.00 99.00 99.00 999  992.0   3.8 999.0  -0.3 99.0 99.00
2019 01 10 00 00 275 12.7 14.1 99.00 99.00 99.00 999  992.7   3.7 999.0  -1.2 99.0 99.00
2019 01 10 01 00 263 10.7 11.9 99.00 99.00 99.00 999  993.2   3.3 999.0  -1.2 99.0 99.00
2019 01 10 02 00 264  9.6 10.8 99.00 99.00 99.00 999  993.3   3.0 999.0  -0.9 99.0 99.00
2019 01 10 03 00 255  9.6 10.6 99.00 99.00 99.00 999  993.4   2.9 999.0  -0.6 99.0 99.00
2019 01 10 04 00 268 10.0 11.4 99.00 99.00 99.00 999  993.1   2.7 999.0  -1.4 99.0 99.00
2019 01 10 05 00 259 10.2 11.4 99.00 99.00 99.00 999  993.1   2.0 999.0  -2.0 99.0 99.00
2019 01 10 06 00 255 10.7 11.9 99.00 99.00 99.00 999  993.4   1.9 999.0  -3.1 99.0 99.00
